Parameters,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(65,)","(5,)"," 324,072 ", 428 ," (126,609)", 3 ," (123,249)", 3 , 49 , 7 ," (60,756)", 29 ," (26,728)"," 25,116 "," (24,948)"," 6,711 "," (4,935)", 214 , 214 , 50 
"(75,)","(3,)"," 242,088 ", 529 ," (96,180)", 3 ," (82,614)", 3 , 43 , 9 ," (52,939)", 30 ," (28,105)"," 32,781 "," (21,651)"," 6,289 "," (3,873)", 264 , 265 , 50 
"(70,)","(9,)"," 270,228 ", 301 ," (108,255)", 2 ," (100,254)", 3 , 48 , 8 ," (56,537)", 29 ," (27,835)"," 29,694 "," (27,846)"," 8,555 "," (6,161)", 150 , 151 , 50 
"(95,)","(3,)"," 306,726 ", 482 ," (123,669)", 2 ," (116,865)", 3 , 45 , 9 ," (59,026)", 25 ," (30,483)"," 31,605 "," (25,536)"," 6,157 "," (4,011)", 241 , 241 , 50 
"(95,)","(8,)"," 275,814 ", 282 ," (112,665)", 2 ," (103,866)", 3 , 44 , 6 ," (63,721)", 20 ," (32,328)"," 50,064 "," (27,804)"," 9,321 "," (5,649)", 141 , 141 , 50 
"(30,)","(9,)"," 301,644 ", 496 ," (123,774)", 2 ," (116,466)", 3 , 50 , 8 ," (49,888)", 24 ," (27,462)"," 26,775 "," (24,171)"," 6,254 "," (4,947)", 248 , 248 , 50 
"(5,)","(5,)"," 308,280 "," 1,957 "," (127,302)", 2 ," (124,635)", 2 , 45 , 7 ," (57,918)", 37 ," (25,874)"," 21,504 "," (19,278)"," 3,163 "," (2,308)", 979 , 978 , 50 
"(75,)","(9,)"," 227,934 ", 291 ," (95,907)", 2 ," (87,801)", 3 , 47 , 8 ," (55,146)", 28 ," (28,846)"," 31,479 "," (28,770)"," 8,864 "," (6,257)", 145 , 146 , 50 
"(70,)","(3,)"," 283,836 ", 542 ," (121,065)", 2 ," (114,387)", 2 , 46 , 6 ," (62,626)", 29 ," (25,834)"," 29,001 "," (30,177)"," 5,966 "," (4,120)", 271 , 271 , 50 
"(10,)","(9,)"," 300,972 ", 982 ," (128,751)", 2 ," (126,231)", 2 , 46 , 7 ," (61,896)", 22 ," (31,105)"," 26,355 "," (20,160)"," 4,546 "," (3,384)", 491 , 491 , 50 
