,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(20,)","(5,)",438900.0,846,-71526.0,6.136230182031709,-64113.0,6.845725515886014,47.99,11,-48701.0,35,-26058.0,22029.0,-20475.0,4905.0,-3506.0,423,423,50.0
"(30,)","(4,)",546882.0,766,-89292.0,6.124647224835371,-86583.0,6.316274557361145,49.74,6,-44842.0,37,-23304.0,28707.0,-20853.0,5040.0,-3556.0,383,383,50.0
"(40,)","(4,)",544698.0,615,-88998.0,6.12033978291647,-83748.0,6.504012036108325,48.2,9,-46636.0,33,-24897.0,29358.0,-23100.0,5995.0,-3858.0,307,308,49.92
"(35,)","(3,)",573090.0,843,-94227.0,6.082014709159795,-89880.0,6.376168224299065,48.33,9,-49558.0,44,-23559.0,27699.0,-20769.0,4737.0,-3116.0,422,421,50.06
"(20,)","(6,)",481740.0,784,-82173.0,5.862509583439816,-68691.0,7.013145826964231,48.47,9,-53382.0,37,-24214.0,22806.0,-20937.0,5192.0,-3666.0,392,392,50.0
"(50,)","(4,)",434616.0,566,-74466.0,5.836435420191766,-70812.0,6.137603795966785,47.16,8,-48106.0,33,-24165.0,27426.0,-24780.0,6101.0,-4015.0,283,283,50.0
"(20,)","(2,)",510426.0,1644,-88515.0,5.766548042704627,-87801.0,5.813441760344415,45.98,9,-53944.0,36,-25476.0,25515.0,-17241.0,3340.0,-2259.0,822,822,50.0
"(5,)","(3,)",540792.0,2593,-93786.0,5.766233766233766,-89376.0,6.0507518796992485,47.65,8,-54994.0,35,-25160.0,21462.0,-15645.0,2671.0,-2030.0,1297,1296,50.02
"(15,)","(10,)",480942.0,750,-83559.0,5.7557175169640615,-81879.0,5.873813798409849,49.6,7,-54486.0,40,-22850.0,23226.0,-23772.0,5127.0,-3767.0,375,375,50.0
"(35,)","(4,)",524874.0,691,-92316.0,5.685623293903548,-88137.0,5.955206099594949,47.61,9,-48608.0,46,-22111.0,27699.0,-20769.0,5522.0,-3586.0,346,345,50.07
"(55,)","(3,)",422982.0,619,-75873.0,5.574868530307224,-72408.0,5.841647331786543,46.67,4,-56831.0,28,-23218.0,31038.0,-29316.0,5652.0,-3679.0,310,309,50.08
"(55,)","(5,)",389340.0,462,-69867.0,5.57258791704238,-66402.0,5.863377609108159,48.81,7,-51258.0,35,-22979.0,27468.0,-29316.0,6515.0,-4595.0,231,231,50.0
"(25,)","(6,)",442806.0,684,-80325.0,5.512679738562092,-75495.0,5.865368567454798,49.78,8,-46216.0,37,-22241.0,27846.0,-23772.0,5302.0,-3961.0,342,342,50.0
"(10,)","(10,)",353304.0,916,-64974.0,5.437621202327085,-59934.0,5.8948843728100915,47.71,11,-44969.0,31,-26952.0,26355.0,-20181.0,4619.0,-3482.0,458,458,50.0
"(35,)","(5,)",534996.0,600,-103761.0,5.156041287188828,-89796.0,5.9579045837231055,49.92,9,-51107.0,44,-23278.0,27048.0,-20874.0,5825.0,-4062.0,300,300,50.0
"(80,)","(10,)",290976.0,279,-59241.0,4.91173342786246,-52416.0,5.551282051282051,46.24,8,-48578.0,34,-24960.0,29589.0,-28434.0,9348.0,-6112.0,139,140,49.82
"(55,)","(4,)",368760.0,531,-76713.0,4.807007938680536,-72408.0,5.092807424593968,46.31,6,-51674.0,31,-22931.0,28623.0,-29316.0,6259.0,-4129.0,266,265,50.09
"(30,)","(3,)",536634.0,912,-112623.0,4.764870408353533,-107940.0,4.9715953307393,47.85,11,-47239.0,39,-25269.0,27174.0,-19572.0,4618.0,-3102.0,456,456,50.0
"(40,)","(2,)",552762.0,1063,-117306.0,4.712137486573577,-114114.0,4.843945528156055,45.27,7,-58695.0,48,-21055.0,27594.0,-21378.0,4277.0,-2578.0,531,532,49.95
"(85,)","(9,)",297654.0,297,-63357.0,4.69804441498177,-58422.0,5.09489575844716,50.34,12,-47773.0,30,-28735.0,30009.0,-27804.0,8031.0,-6166.0,148,149,49.83
"(5,)","(7,)",397614.0,1437,-86394.0,4.6023334953816235,-80220.0,4.956544502617801,47.38,11,-47842.0,29,-28519.0,26145.0,-18081.0,3579.0,-2706.0,719,718,50.03
"(10,)","(2,)",401646.0,2417,-88914.0,4.517241379310345,-84840.0,4.734158415841584,45.39,10,-57511.0,33,-28680.0,28455.0,-19257.0,2789.0,-2013.0,1209,1208,50.02
"(80,)","(8,)",327810.0,301,-73563.0,4.456180416785612,-59241.0,5.5334987593052105,47.51,12,-45962.0,39,-27119.0,29274.0,-28539.0,8729.0,-5835.0,150,151,49.83
"(55,)","(6,)",316512.0,436,-72408.0,4.3712296983758705,-66024.0,4.793893129770993,46.08,6,-56542.0,26,-26229.0,30660.0,-29652.0,7055.0,-4711.0,218,218,50.0
"(85,)","(10,)",313908.0,283,-71883.0,4.366929593923459,-68754.0,4.565668906536347,49.47,10,-50870.0,28,-29112.0,28917.0,-31017.0,8593.0,-6285.0,141,142,49.82
"(30,)","(5,)",428652.0,683,-98385.0,4.356883671291356,-93177.0,4.600405679513185,48.6,8,-51051.0,35,-25719.0,27825.0,-20853.0,5359.0,-3831.0,342,341,50.07
"(45,)","(3,)",456078.0,686,-105294.0,4.33147187873953,-102249.0,4.46046416101869,46.35,8,-53828.0,35,-23255.0,27048.0,-20349.0,5544.0,-3553.0,343,343,50.0
"(15,)","(9,)",406896.0,790,-95529.0,4.259397669817543,-91182.0,4.46245969599263,48.16,7,-56673.0,33,-23913.0,23709.0,-21378.0,5064.0,-3708.0,395,395,50.0
"(15,)","(8,)",411306.0,822,-97251.0,4.229324120060462,-91581.0,4.491171749598716,47.87,8,-56411.0,29,-26203.0,25095.0,-20454.0,5001.0,-3625.0,411,411,50.0
"(50,)","(3,)",381024.0,698,-90258.0,4.221498371335505,-83181.0,4.580661449129008,45.61,8,-52734.0,31,-25370.0,27594.0,-23436.0,5355.0,-3493.0,349,349,50.0
"(85,)","(8,)",312480.0,319,-74067.0,4.218882903317267,-68964.0,4.531059683313033,50.31,10,-43302.0,32,-24486.0,30009.0,-27804.0,7714.0,-5892.0,159,160,49.84
"(25,)","(7,)",414204.0,642,-98259.0,4.215430647574268,-92043.0,4.50011407711613,49.84,7,-57558.0,38,-24095.0,27846.0,-23772.0,5531.0,-4207.0,321,321,50.0
"(80,)","(2,)",332556.0,773,-79149.0,4.201644998673388,-73815.0,4.505263157894737,45.87,11,-45142.0,33,-26210.0,33075.0,-25494.0,4563.0,-3058.0,386,387,49.94
"(40,)","(6,)",390222.0,515,-94269.0,4.13945199376253,-86898.0,4.490575157080715,49.13,9,-51749.0,36,-24679.0,28434.0,-24633.0,6239.0,-4506.0,257,258,49.9
"(40,)","(5,)",426510.0,557,-103320.0,4.128048780487805,-98070.0,4.349036402569594,48.56,9,-44228.0,33,-24163.0,28980.0,-23940.0,6151.0,-4288.0,278,279,49.91
"(35,)","(2,)",522144.0,1205,-126567.0,4.125435540069686,-124782.0,4.184449680242342,45.19,7,-55002.0,44,-22835.0,27699.0,-19572.0,3928.0,-2439.0,603,602,50.04
